"ObservationDate","Country_Region","Province_State","Confirmed","Deaths","Recovered","Active"
2020-10-06,"Cyprus",NA,1876,23,1369,484
2020-10-06,"Georgia",NA,9245,58,4887,4300
2020-10-06,"Kazakhstan",NA,108362,1746,103465,3151
2020-10-06,"Kosovo",NA,12683,488,8788,3407
2020-10-06,"Turkey",NA,327557,8553,287599,31405
2020-10-07,"Armenia",NA,53755,995,45110,7650
2020-10-07,"Azerbaijan",NA,41113,602,38858,1653
2020-10-07,"Cyprus",NA,1897,24,1369,504
2020-10-07,"Georgia",NA,9753,63,5235,4455
2020-10-07,"Kazakhstan",NA,108454,1746,103604,3104
2020-10-07,"Kosovo",NA,15938,638,14143,1157
2020-10-07,"Turkey",NA,329138,8609,288954,31575
2020-10-08,"Armenia",NA,54473,1004,45312,8157
2020-10-08,"Azerbaijan",NA,41304,603,39012,1689
2020-10-08,"Cyprus",NA,1918,24,1369,525
2020-10-08,"Georgia",NA,10225,66,5553,4606
2020-10-08,"Kazakhstan",NA,108561,1746,103758,3057
2020-10-08,"Kosovo",NA,15938,638,14143,1157
2020-10-08,"Turkey",NA,330753,8667,290352,31734
2020-10-09,"Armenia",NA,55087,1010,45528,8549
2020-10-09,"Azerbaijan",NA,41519,605,39129,1785
2020-10-09,"Cyprus",NA,1951,25,1369,557
2020-10-09,"Georgia",NA,10752,72,5866,4814
2020-10-09,"Kazakhstan",NA,108663,1746,103910,3007
2020-10-09,"Kosovo",NA,15971,638,14189,1144
2020-10-09,"Turkey",NA,332382,8722,291754,31906
2020-10-10,"Armenia",NA,55736,1016,45771,8949
2020-10-10,"Azerbaijan",NA,41752,608,39235,1909
2020-10-10,"Cyprus",NA,1986,25,1444,517
2020-10-10,"Georgia",NA,11271,78,6119,5074
2020-10-10,"Kazakhstan",NA,108757,1746,103980,3031
2020-10-10,"Kosovo",NA,16130,645,14282,1203
2020-10-10,"Turkey",NA,334031,8778,293145,32108
2020-10-11,"Armenia",NA,56451,1020,45824,9607
2020-10-11,"Azerbaijan",NA,41982,609,39357,2016
2020-10-11,"Cyprus",NA,2006,25,1444,537
2020-10-11,"Georgia",NA,11794,85,6327,5382
2020-10-11,"Kazakhstan",NA,108831,1746,104041,3044
2020-10-11,"Kosovo",NA,16179,647,14335,1197
2020-10-11,"Turkey",NA,335533,8837,294357,32339
2020-10-12,"Armenia",NA,56821,1026,45891,9904
2020-10-12,"Azerbaijan",NA,42104,609,39404,2091
2020-10-12,"Cyprus",NA,2047,25,1444,578
2020-10-12,"Georgia",NA,12272,93,6538,5641
2020-10-12,"Kazakhstan",NA,108901,1746,104203,2952
2020-10-12,"Kosovo",NA,16247,648,14368,1231
2020-10-12,"Turkey",NA,337147,8895,295658,32594
2020-10-13,"Armenia",NA,57566,1032,46318,10216
2020-10-13,"Azerbaijan",NA,42381,612,39468,2301
2020-10-13,"Cyprus",NA,2130,25,1444,661
2020-10-13,"Georgia",NA,12841,102,6867,5872
2020-10-13,"Kazakhstan",NA,108984,1768,104346,2870
2020-10-13,"Kosovo",NA,16345,649,14405,1291
2020-10-13,"Turkey",NA,338779,8957,296972,32850
2020-10-14,"Armenia",NA,58624,1039,46713,10872
2020-10-14,"Azerbaijan",NA,42750,616,39570,2564
2020-10-14,"Cyprus",NA,2181,25,1444,712
2020-10-14,"Georgia",NA,13521,109,7159,6253
2020-10-14,"Kazakhstan",NA,109094,1768,104525,2801
2020-10-14,"Kosovo",NA,16425,650,14455,1320
2020-10-14,"Turkey",NA,340450,9014,298368,33068
2020-10-15,"Armenia",NA,59995,1046,47119,11830
2020-10-15,"Azerbaijan",NA,43280,619,39671,2990
2020-10-15,"Cyprus",NA,2285,25,1444,816
2020-10-15,"Georgia",NA,14440,113,7367,6960
2020-10-15,"Kazakhstan",NA,109202,1768,104801,2633
2020-10-15,"Kosovo",NA,16502,650,14514,1338
2020-10-15,"Turkey",NA,342143,9080,299679,33384
2020-10-16,"Armenia",NA,61460,1056,47541,12863
2020-10-16,"Azerbaijan",NA,43789,621,39800,3368
2020-10-16,"Cyprus",NA,2379,25,1444,910
2020-10-16,"Georgia",NA,15327,124,7613,7590
2020-10-16,"Kazakhstan",NA,109302,1768,104921,2613
2020-10-16,"Kosovo",NA,16606,652,14556,1398
2020-10-16,"Turkey",NA,343955,9153,301098,33704
2020-10-17,"Armenia",NA,63000,1067,47925,14008
2020-10-17,"Azerbaijan",NA,44317,623,39903,3791
2020-10-17,"Cyprus",NA,2581,25,1444,1112
2020-10-17,"Georgia",NA,16285,128,7827,8330
2020-10-17,"Kazakhstan",NA,109406,1768,105001,2637
2020-10-17,"Kosovo",NA,16606,652,14556,1398
2020-10-17,"Turkey",NA,345678,9224,302499,33955
2020-10-18,"Armenia",NA,64694,1081,48104,15509
2020-10-18,"Azerbaijan",NA,44964,626,40037,4301
2020-10-18,"Cyprus",NA,2644,25,1444,1175
2020-10-18,"Georgia",NA,17477,136,8060,9281
2020-10-18,"Kazakhstan",NA,109508,1768,105001,2739
2020-10-18,"Kosovo",NA,16891,653,14661,1577
2020-10-18,"Turkey",NA,347493,9296,304003,34194
2020-10-19,"Armenia",NA,65460,1091,48208,16161
2020-10-19,"Azerbaijan",NA,45295,630,40144,4521
2020-10-19,"Cyprus",NA,2687,25,1444,1218
2020-10-19,"Georgia",NA,18663,143,8338,10182
2020-10-19,"Kazakhstan",NA,109623,1768,105145,2710
2020-10-19,"Kosovo",NA,17009,656,14711,1642
2020-10-19,"Turkey",NA,349519,9371,305427,34721
2020-10-20,"Armenia",NA,66694,1101,48734,16859
2020-10-20,"Azerbaijan",NA,45879,635,40272,4972
2020-10-20,"Cyprus",NA,2839,25,1444,1370
2020-10-20,"Georgia",NA,19857,158,8666,11033
2020-10-20,"Kazakhstan",NA,109766,1796,105301,2669
2020-10-20,"Kosovo",NA,17139,656,14711,1642
2020-10-20,"Turkey",NA,351413,9445,306939,35029
2020-10-21,"Armenia",NA,68530,1121,49219,18190
2020-10-21,"Azerbaijan",NA,46593,642,40448,5503
2020-10-21,"Cyprus",NA,2966,25,1444,1497
2020-10-21,"Georgia",NA,21208,172,9003,12033
2020-10-21,"Kazakhstan",NA,109907,1796,105385,2726
2020-10-21,"Kosovo",NA,17263,657,14831,1775
2020-10-21,"Turkey",NA,353426,9513,308446,35467
2020-10-22,"Armenia",NA,70836,1131,49787,19918
2020-10-22,"Azerbaijan",NA,47418,648,40619,6151
2020-10-22,"Cyprus",NA,3154,25,1444,1685
2020-10-22,"Georgia",NA,22803,178,9401,13224
2020-10-22,"Kazakhstan",NA,110086,1796,105493,2797
2020-10-22,"Kosovo",NA,17263,657,14831,1775
2020-10-22,"Turkey",NA,355528,9584,310027,35917
2020-10-23,"Armenia",NA,73310,1145,50276,21889
2020-10-23,"Azerbaijan",NA,48221,656,40831,6734
2020-10-23,"Cyprus",NA,3314,25,1444,1845
2020-10-23,"Georgia",NA,24562,183,9751,14628
2020-10-23,"Kazakhstan",NA,110250,1796,105566,2888
2020-10-23,"Kosovo",NA,17263,657,14831,1775
2020-10-23,"Turkey",NA,357693,9658,311520,36515
2020-10-24,"Armenia",NA,75523,1157,50701,23665
2020-10-24,"Azerbaijan",NA,49013,664,41051,7298
2020-10-24,"Cyprus",NA,3444,25,1882,1537
2020-10-24,"Georgia",NA,26503,193,10163,16147
2020-10-24,"Kazakhstan",NA,110402,1796,105618,2988
2020-10-24,"Kosovo",NA,17263,657,14831,1775
2020-10-24,"Turkey",NA,359784,9727,313093,36964
2020-10-25,"Armenia",NA,77837,1180,50908,25749
2020-10-25,"Azerbaijan",NA,49959,671,41279,8009
2020-10-25,"Cyprus",NA,3545,25,1882,1638
2020-10-25,"Georgia",NA,28431,201,10767,17463
2020-10-25,"Kazakhstan",NA,110542,1796,105675,3071
2020-10-25,"Kosovo",NA,17263,657,14831,1775
2020-10-25,"Turkey",NA,361801,9799,314390,37612
2020-10-26,"Armenia",NA,78810,1196,51162,26452
2020-10-26,"Azerbaijan",NA,50486,679,41410,8397
2020-10-26,"Cyprus",NA,3636,25,1882,1729
2020-10-26,"Georgia",NA,30303,215,11370,18718
2020-10-26,"Kazakhstan",NA,110684,1796,105766,3122
2020-10-26,"Kosovo",NA,17943,663,15083,2197
2020-10-26,"Turkey",NA,363999,9874,316008,38117
